Date,Open,High,Low,Close,Adj Close,Volume
2018-12-12,36.000000,36.240002,35.889999,35.900002,35.160427,1079800
2018-12-13,35.900002,36.169998,35.799999,35.970001,35.228985,341000
2018-12-14,35.049999,35.320000,35.049999,35.130001,34.406292,355800
2018-12-17,34.869999,35.150002,34.570000,34.730000,34.014530,488000
2018-12-18,34.599998,34.700001,34.310001,34.490002,33.779476,243500
2018-12-19,33.470001,33.669998,32.599998,32.759998,32.085114,673600
2018-12-20,33.630001,34.070000,33.490002,33.919998,33.221214,744100
2018-12-21,32.459999,32.840000,31.910000,31.910000,31.252625,557200
2018-12-24,32.049999,32.220001,31.379999,31.530001,30.880453,245200
2018-12-26,32.020000,32.779999,31.830000,32.700001,32.026352,517700
2018-12-27,32.560001,32.900002,32.130001,32.900002,32.222233,238700
2018-12-28,33.150002,33.209999,32.810001,32.959999,32.280994,262000
2018-12-31,33.299999,33.299999,32.470001,33.099998,32.418110,298200
2019-01-02,32.730000,33.580002,32.430000,33.529999,32.839249,206900
2019-01-03,33.340000,33.639999,33.040001,33.250000,32.565018,210800
2019-01-04,32.610001,33.779999,32.509998,33.650002,32.956779,400300
2019-01-07,33.919998,34.669998,33.919998,34.410000,33.701122,244900
2019-01-08,34.939999,34.939999,34.490002,34.740002,34.024326,241400
2019-01-09,35.299999,35.560001,35.250000,35.500000,34.768669,298700
2019-01-10,34.570000,34.990002,34.310001,34.889999,34.171234,343400
2019-01-11,34.849998,34.950001,34.630001,34.840000,34.122265,144900
2019-01-14,34.880001,35.849998,34.880001,35.520000,34.788258,633800
2019-01-15,36.209999,36.840000,36.000000,36.720001,35.963535,696100
2019-01-16,36.840000,37.020000,36.709999,36.720001,35.963535,506100
2019-01-17,37.930000,38.360001,37.720001,38.099998,37.315105,293000
2019-01-18,38.900002,39.340000,38.900002,39.250000,38.441414,419600
2019-01-22,38.299999,38.610001,37.919998,38.020000,37.236755,600300
2019-01-23,38.320000,38.689999,38.029999,38.290001,37.501190,291000
2019-01-24,38.779999,38.810001,38.500000,38.740002,37.941921,163800
2019-01-25,38.810001,38.810001,38.630001,38.700001,37.902744,358300
2019-01-28,37.320000,37.450001,36.639999,37.000000,36.237766,469800
2019-01-29,38.150002,38.360001,38.090000,38.160000,37.373867,465300
2019-01-30,38.000000,38.750000,38.000000,38.700001,37.902744,428400
2019-01-31,37.590000,37.599998,36.770000,37.240002,36.472824,769600
2019-02-01,35.240002,35.669998,35.200001,35.419998,34.690315,572800
2019-02-04,36.549999,36.730000,35.770000,36.730000,35.973328,220800
2019-02-05,35.779999,35.869999,35.590000,35.840000,35.101662,222500
2019-02-06,33.689999,33.880001,33.520000,33.529999,32.839249,543300
2019-02-07,33.189999,33.279999,32.930000,33.259998,32.574810,345100
2019-02-08,32.450001,32.970001,32.450001,32.880001,32.202644,276000
2019-02-11,32.980000,32.980000,32.020000,32.610001,31.938204,526000
2019-02-12,33.099998,33.240002,33.080002,33.099998,32.418110,446400
2019-02-13,33.880001,33.900002,33.660000,33.810001,33.113483,263400
2019-02-14,33.549999,33.840000,33.259998,33.700001,33.005749,388900
2019-02-15,33.119999,33.669998,33.119999,33.660000,32.966572,186500
2019-02-19,33.130001,33.410000,33.040001,33.360001,32.672752,318000
2019-02-20,33.299999,33.619999,33.259998,33.349998,32.662956,404400
2019-02-21,33.689999,35.400002,33.500000,34.939999,34.220203,1793200
2019-02-22,34.830002,36.040001,34.650002,35.540001,34.807846,1890600
2019-02-25,34.910000,34.990002,34.360001,34.400002,33.691330,1680400
2019-02-26,34.369999,34.799999,34.330002,34.770000,34.053707,673700
2019-02-27,35.549999,35.840000,35.259998,35.580002,34.847023,885400
2019-02-28,34.400002,34.500000,34.090000,34.250000,33.544418,946500
2019-03-01,34.630001,34.750000,34.330002,34.669998,33.955765,492500
2019-03-04,34.049999,34.139999,33.520000,33.709999,33.015541,685300
2019-03-05,33.980000,34.130001,33.750000,34.049999,33.348537,277800
2019-03-06,34.549999,34.790001,34.549999,34.650002,33.936180,148900
2019-03-07,34.169998,34.169998,33.720001,33.810001,33.113483,266600
2019-03-08,33.279999,33.430000,33.060001,33.400002,32.711929,178500
2019-03-11,33.349998,33.810001,33.150002,33.779999,33.084099,229700
2019-03-12,34.349998,34.470001,34.099998,34.290001,33.583595,411400
2019-03-13,34.799999,34.919998,34.529999,34.869999,34.151646,282400
2019-03-14,33.919998,34.040001,33.900002,33.950001,33.250599,216900
2019-03-15,34.799999,34.980000,34.700001,34.919998,34.200615,326900
2019-03-18,35.750000,35.970001,35.700001,35.889999,35.150631,288000
2019-03-19,35.290001,35.369999,34.759998,35.119999,34.396496,592300
2019-03-20,34.029999,34.410000,33.990002,34.099998,33.397507,445600
2019-03-21,34.080002,34.520000,34.060001,34.430000,33.720711,502000
2019-03-22,34.400002,34.590000,34.009998,34.099998,33.397507,206900
2019-03-25,34.849998,35.169998,34.700001,34.930000,34.210411,474100
2019-03-26,36.119999,36.349998,36.000000,36.250000,35.503216,672000
2019-03-27,35.990002,36.200001,35.779999,36.000000,35.258366,540200
2019-03-28,36.099998,36.139999,35.840000,36.139999,36.139999,157800
2019-03-29,35.799999,35.939999,35.610001,35.869999,35.869999,323300
2019-04-01,36.080002,36.139999,35.849998,36.119999,36.119999,248200
2019-04-02,36.090000,36.160000,35.810001,35.959999,35.959999,139100
2019-04-03,36.380001,36.740002,36.340000,36.570000,36.570000,294900
2019-04-04,36.490002,36.490002,36.220001,36.450001,36.450001,116900
2019-04-05,37.000000,37.570000,36.869999,37.369999,37.369999,455500
2019-04-08,36.650002,36.730000,36.450001,36.689999,36.689999,188700
2019-04-09,36.950001,37.209999,36.950001,37.080002,37.080002,271300
2019-04-10,37.080002,37.099998,36.950001,37.029999,37.029999,218400
2019-04-11,36.730000,37.000000,36.660000,36.750000,36.750000,126800
2019-04-12,37.799999,38.029999,37.799999,37.950001,37.950001,413700
2019-04-15,38.169998,38.200001,37.950001,37.970001,37.970001,464000
2019-04-16,38.509998,38.689999,38.110001,38.279999,38.279999,646900
2019-04-17,38.849998,39.000000,38.529999,38.720001,38.720001,404700
2019-04-18,42.400002,44.180000,41.599998,43.459999,43.459999,3107000
2019-04-22,43.090000,43.090000,42.779999,42.939999,42.939999,940000
2019-04-23,41.509998,41.529999,41.130001,41.410000,41.410000,763300
2019-04-24,42.419998,42.750000,41.950001,42.200001,42.200001,589800
